"","Louvain_0","Louvain_1","Louvain_2","Louvain_3","Louvain_4","Louvain_5","Louvain_6","Louvain_7","Louvain_8","Louvain_9","Louvain_10","Louvain_11","Louvain_12"
"cl26_i124_Ccser1_Vip",0,0.00229885057471264,0,0,0,0,0,0,0.0533333333333333,0,0,0.05,0
"cl27_e121_Gadd45a_L6_CT",0.0196078431372549,0.00459770114942529,0.155172413793103,0.0413223140495868,0,0,0,0,0,0,0,0,0
"cl29_i121_Acbd7_Sst",0,0,0,0,0,0,0.08,0,0,0,0,0,0
"cl3_i309_Cpne6_Lamp5",0.0035650623885918,0.00229885057471264,0,0.012396694214876,0,0,0,0,0.146666666666667,0.0735294117647059,0.0392156862745098,0,0
"cl32_n118_Opalin_Oligo",0.0160427807486631,0,0.0028735632183908,0.00413223140495868,0.00896860986547085,0,0,0.441860465116279,0.0133333333333333,0,0.176470588235294,0,0
"cl34_i116_Nr2e1_Vip",0.0035650623885918,0,0,0,0.00448430493273543,0,0,0,0.0133333333333333,0,0,0,0
"cl35_i106_Bcl9_Sst",0.0035650623885918,0,0,0,0.00448430493273543,0,0.128,0,0.0133333333333333,0,0,0,0
"cl36_i104_Rspo4_Vip",0,0.0160919540229885,0,0,0,0,0,0,0,0,0,0,0
"cl37_e104_Mapk13_L6b",0.017825311942959,0,0.00574712643678161,0,0,0.164179104477612,0,0.0116279069767442,0,0,0,0,0
"cl38_e104_Chn2_L5_NP",0.0338680926916221,0,0.0028735632183908,0.00413223140495868,0.00448430493273543,0,0.008,0,0,0,0,0,0
"cl39_i103_Rnf138rt1_Vip",0,0,0,0,0,0,0,0,0.0266666666666667,0,0,0.075,0
"cl4_e253_Lgmn_L5_IT",0.0837789661319073,0.00229885057471264,0.0028735632183908,0.00826446280991736,0.116591928251121,0.0447761194029851,0,0,0,0,0,0,0
"cl40_i103_Il7_Pvalb",0,0.00229885057471264,0,0,0,0,0,0,0,0,0.0196078431372549,0,0
"cl41_n102_Selplg_Macrophage",0.0106951871657754,0.0114942528735632,0.0114942528735632,0.00826446280991736,0,0,0.008,0.0348837209302326,0,0,0,0.025,0
"cl44_e96_Chrna6_L5_PT",0.0035650623885918,0.00689655172413793,0.0574712643678161,0.0165289256198347,0,0,0.016,0,0,0,0,0,0
"cl45_i95_Gsx2_Vip",0.0071301247771836,0,0.00574712643678161,0,0,0,0,0,0,0,0,0.025,0
"cl46_e95_Npc1l1_L5_IT",0.035650623885918,0.0137931034482759,0,0.012396694214876,0.062780269058296,0.0149253731343284,0,0,0,0,0,0,0
"cl48_e91_Csgalnact1_L6_IT",0.0017825311942959,0.00229885057471264,0.0028735632183908,0,0.031390134529148,0.0149253731343284,0,0,0.0133333333333333,0,0,0,0
"cl49_i90_Gpr149_Pvalb",0.0017825311942959,0,0.0028735632183908,0,0,0,0,0,0.0533333333333333,0.0441176470588235,0,0,0
"cl5_i231_Nov_Vip",0.0089126559714795,0.00689655172413793,0,0.00413223140495868,0,0,0,0,0.0133333333333333,0,0,0.175,0.0909090909090909
"cl50_i90_Agt_Lamp5",0.0017825311942959,0,0.00574712643678161,0.00413223140495868,0,0,0,0,0,0,0,0,0.181818181818182
"cl52_i88_TrnI_Pvalb",0,0,0.0028735632183908,0,0,0,0,0,0,0,0,0,0
"cl53_i85_Dclk2_Pvalb",0.0017825311942959,0,0,0,0,0,0,0,0.0133333333333333,0.0588235294117647,0,0.025,0
"cl54_i85_Thbs3_Vip",0.0017825311942959,0.00229885057471264,0,0,0,0,0,0,0,0,0,0.15,0
"cl57_i83_Myl1_Vip",0.0053475935828877,0,0,0.00413223140495868,0,0,0,0,0,0,0,0.1,0
"cl58_i81_Tmem255a_Sst",0,0,0,0,0,0,0.056,0,0,0,0,0,0
"cl6_e204_Exosc4_L23_IT",0.0071301247771836,0.266666666666667,0.0172413793103448,0.0950413223140496,0.0134529147982063,0,0,0.0232558139534884,0,0,0,0,0
"cl61_e77_Mir221_L6_IT",0.0035650623885918,0,0.00574712643678161,0.0206611570247934,0.0493273542600897,0,0,0,0,0,0,0,0
"cl62_e76_Apaf1_L23_IT",0.0071301247771836,0.0229885057471264,0,0.0247933884297521,0.00448430493273543,0,0,0,0,0,0.0784313725490196,0,0
"cl63_i73_Tac2_Vip",0,0.00229885057471264,0,0,0,0,0,0,0,0,0,0.025,0
