clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,,1,2,3,4,5,6,index
Pvalb Reln Itm2a,0.605095541,14170,5,42,19,3,,Barx2,Pvalb,Tcap,nan,nan,nan,Pvalb Reln Itm2a&Barx2>=8.14515495300293&Pvalb>=2113.516845703125&Tcap>=65.18051147460938
Pvalb Reln Tac1,0.615763547,13841,40,230,125,2,,Nnmt,Tcap,nan,nan,nan,nan,Pvalb Reln Tac1&Nnmt>=21.51630401611328&Tcap>=104.63629150390625
Pvalb Sema3e Kank4,0.491071429,14186,6,33,11,5,,Myh14,Prss23,Pvalb,Rerg,Vwc2,nan,Pvalb Sema3e Kank4&Myh14>=5.483316421508789&Prss23>=265.14935302734375&Pvalb>=1629.531005859375&Rerg>=20.430707931518555&Vwc2>=118.41608428955078
Pvalb Th Sst,0.450819672,14176,6,43,11,3,,Nxph2,Pvalb,Th,nan,nan,nan,Pvalb Th Sst&Nxph2>=461.0237121582031&Pvalb>=19.31924057006836&Th>=25.956233978271484
Pvalb Tpbg,0.872771973,13811,22,119,284,3,,Il1rapl2,Npnt,Pvalb,nan,nan,nan,Pvalb Tpbg&Il1rapl2>=22.44182014465332&Npnt>=1.7341901063919067&Pvalb>=421.212646484375
Pvalb Vipr2,0.797101449,14189,1,24,22,3,,Inpp4b,Unc5b,Zfp804b,nan,nan,nan,Pvalb Vipr2&Inpp4b>=79.84038543701172&Unc5b>=21.978490829467773&Zfp804b>=1.01091730594635
SMC Acta2,1,14181,0,0,55,1,,Acta2,nan,nan,nan,nan,nan,SMC Acta2&Acta2>=8255.3310546875
Serpinf1 Aqp5 Vip,0.512820513,14216,1,15,4,3,,Cd24a,Serpinf1,Slc44a5,nan,nan,nan,Serpinf1 Aqp5 Vip&Cd24a>=485.4608154296875&Serpinf1>=93.2505111694336&Slc44a5>=34.536930084228516
Serpinf1 Clrn1,0.681818182,14226,0,7,3,2,,Clrn1,Col14a1,nan,nan,nan,nan,Serpinf1 Clrn1&Clrn1>=275.4549255371094&Col14a1>=42.06718444824219
Sncg Gpr50,0.857142857,14206,1,11,18,3,,Col25a1,Sncg,Teddm3,nan,nan,nan,Sncg Gpr50&Col25a1>=217.3773193359375&Sncg>=543.69580078125&Teddm3>=38.35974884033203
Sncg Slc17a8,0.795454545,14223,1,5,7,3,,Prok2,Sncg,Wnt7b,nan,nan,nan,Sncg Slc17a8&Prok2>=2.9530997276306152&Sncg>=29.531728744506836&Wnt7b>=5.0431928634643555
Sncg Vip Itih5,0.718390805,14183,7,21,25,4,,Cnr1,Pde11a,Sncg,Tac2,nan,nan,Sncg Vip Itih5&Cnr1>=5084.9814453125&Pde11a>=1.5092918872833252&Sncg>=7.737822532653809&Tac2>=1319.4228515625
Sncg Vip Nptx2,0.575221239,14190,5,28,13,3,,Npy2r,Teddm3,Unc5b,nan,nan,nan,Sncg Vip Nptx2&Npy2r>=486.24407958984375&Teddm3>=21.748008728027344&Unc5b>=14.819117546081543
Sst Calb2 Necab1,0.514705882,14205,3,21,7,3,,Calb2,Cbln4,Thbs2,nan,nan,nan,Sst Calb2 Necab1&Calb2>=1.2780742645263672&Cbln4>=228.42745971679688&Thbs2>=137.81146240234375
Sst Calb2 Pdlim5,0.81300813,14116,3,57,60,3,,Calb2,Prokr2,Unc13c,nan,nan,nan,Sst Calb2 Pdlim5&Calb2>=6.584438800811768&Prokr2>=1.5170773267745972&Unc13c>=19.84685707092285
Sst Chodl,0.990220049,14151,0,4,81,1,,Nos1,nan,nan,nan,nan,nan,Sst Chodl&Nos1>=605.5357666015625
Sst Chrna2 Glra3,0.71273123,13964,41,100,131,3,,Chrna2,Il1rapl2,Sst,nan,nan,nan,Sst Chrna2 Glra3&Chrna2>=18.705806732177734&Il1rapl2>=1.5077433586120605&Sst>=5284.5576171875
Sst Chrna2 Ptgdr,0.484375,14085,15,105,31,3,,Grin3a,Grm1,Unc13c,nan,nan,nan,Sst Chrna2 Ptgdr&Grin3a>=458.65838623046875&Grm1>=278.22369384765625&Unc13c>=52.06704330444336
Sst Crh 4930553C11Rik ,0.519480519,14170,8,42,16,4,,Calb1,Crhr2,Moxd1,Trpc6,nan,nan,Sst Crh 4930553C11Rik &Calb1>=3765.2275390625&Crhr2>=57.256988525390625&Moxd1>=94.9036865234375&Trpc6>=208.89501953125
Sst Crhr2 Efemp1,0.714285714,14143,13,36,44,3,,Crhr2,Pxdc1,Unc13c,nan,nan,nan,Sst Crhr2 Efemp1&Crhr2>=29.022768020629883&Pxdc1>=60.98212432861328&Unc13c>=2.1928319931030273
Sst Esm1,0.695187166,14162,3,45,26,4,,Crhr2,Nnmt,Prokr2,Trpc6,nan,nan,Sst Esm1&Crhr2>=76.6657943725586&Nnmt>=8.671024322509766&Prokr2>=5.310375213623047&Trpc6>=73.1673355102539
Sst Hpse Cbln4,0.729166667,14191,5,19,21,2,,Cbln4,Hpse,nan,nan,nan,nan,Sst Hpse Cbln4&Cbln4>=101.97233581542969&Hpse>=129.61143493652344
Sst Hpse Sema3c,0.653153153,14051,9,118,58,3,,C1qtnf7,Nkain3,Unc13c,nan,nan,nan,Sst Hpse Sema3c&C1qtnf7>=1.2174649238586426&Nkain3>=73.00041198730469&Unc13c>=91.82028198242188
Sst Mme Fam114a1,0.367454068,14135,56,17,28,4,,Moxd1,Pvalb,Sst,Vwc2,nan,nan,Sst Mme Fam114a1&Moxd1>=204.22909545898438&Pvalb>=19.01212501525879&Sst>=348.8323669433594&Vwc2>=5.768128395080566
Sst Myh8 Etv1 ,0.508982036,14152,5,62,17,4,,Cbln4,Il1rapl2,Sst,Trpc6,nan,nan,Sst Myh8 Etv1 &Cbln4>=64.03414154052734&Il1rapl2>=2.9703736305236816&Sst>=3082.7412109375&Trpc6>=90.88439178466797
Sst Myh8 Fibin,0.717131474,14138,3,59,36,4,,Igfbp5,Penk,Pld5,Sst,nan,nan,Sst Myh8 Fibin&Igfbp5>=42.27272415161133&Penk>=62.80321502685547&Pld5>=64.40498352050781&Sst>=234.870849609375
